Çal??an Sicil;Gösterge Ad? ;Periyot;Planlanan;Gerçekle?en;Sonuç 
101273;TSM - Medikal S?nav Ba?ar?s?;1;100;100;100
101460;TSM - Medikal S?nav Ba?ar?s?;1;100;96;96
101467;TSM - Medikal S?nav Ba?ar?s?;1;100;92;92
101549;TSM - Medikal S?nav Ba?ar?s?;1;100;96;96
101558;TSM - Medikal S?nav Ba?ar?s?;1;100;92;92
101575;TSM - Medikal S?nav Ba?ar?s?;1;100;92;92
101654;TSM - Medikal S?nav Ba?ar?s?;1;100;96;96
101655;TSM - Medikal S?nav Ba?ar?s?;1;100;100;100
101656;TSM - Medikal S?nav Ba?ar?s?;1;100;96;96
101659;TSM - Medikal S?nav Ba?ar?s?;1;100;92;92
101692;TSM - Medikal S?nav Ba?ar?s?;1;100;92;92
101791;TSM - Medikal S?nav Ba?ar?s?;1;100;88;88
101798;TSM - Medikal S?nav Ba?ar?s?;1;100;96;96
101804;TSM - Medikal S?nav Ba?ar?s?;1;100;100;100
101805;TSM - Medikal S?nav Ba?ar?s?;1;100;96;96
101806;TSM - Medikal S?nav Ba?ar?s?;1;100;92;92
101808;TSM - Medikal S?nav Ba?ar?s?;1;100;96;96
101826;TSM - Medikal S?nav Ba?ar?s?;1;100;96;96
101854;TSM - Medikal S?nav Ba?ar?s?;1;100;88;88
101912;TSM - Medikal S?nav Ba?ar?s?;1;100;76;76
101915;TSM - Medikal S?nav Ba?ar?s?;1;100;84;84
101917;TSM - Medikal S?nav Ba?ar?s?;1;100;80;80
101919;TSM - Medikal S?nav Ba?ar?s?;1;100;96;96
101920;TSM - Medikal S?nav Ba?ar?s?;1;100;80;80
101921;TSM - Medikal S?nav Ba?ar?s?;1;100;68;68
101929;TSM - Medikal S?nav Ba?ar?s?;1;100;80;80
102000;TSM - Medikal S?nav Ba?ar?s?;1;100;88;88
100138;TSM - Medikal S?nav Ba?ar?s?;1;100;88;88
100201;TSM - Medikal S?nav Ba?ar?s?;1;100;84;84
100204;TSM - Medikal S?nav Ba?ar?s?;1;100;84;84
100209;TSM - Medikal S?nav Ba?ar?s?;1;100;88;88
100242;TSM - Medikal S?nav Ba?ar?s?;1;100;84;84
100253;TSM - Medikal S?nav Ba?ar?s?;1;100;92;92
100269;TSM - Medikal S?nav Ba?ar?s?;1;100;92;92
100298;TSM - Medikal S?nav Ba?ar?s?;1;100;84;84
100322;TSM - Medikal S?nav Ba?ar?s?;1;100;92;92
100328;TSM - Medikal S?nav Ba?ar?s?;1;100;84;84
100333;TSM - Medikal S?nav Ba?ar?s?;1;100;84;84
100335;TSM - Medikal S?nav Ba?ar?s?;1;100;92;92
100355;TSM - Medikal S?nav Ba?ar?s?;1;100;80;80
100357;TSM - Medikal S?nav Ba?ar?s?;1;100;72;72
100379;TSM - Medikal S?nav Ba?ar?s?;1;100;76;76
100392;TSM - Medikal S?nav Ba?ar?s?;1;100;80;80
100422;TSM - Medikal S?nav Ba?ar?s?;1;100;92;92
100456;TSM - Medikal S?nav Ba?ar?s?;1;100;80;80
100460;TSM - Medikal S?nav Ba?ar?s?;1;100;92;92
100461;TSM - Medikal S?nav Ba?ar?s?;1;100;84;84
100501;TSM - Medikal S?nav Ba?ar?s?;1;100;92;92
100502;TSM - Medikal S?nav Ba?ar?s?;1;100;84;84
100509;TSM - Medikal S?nav Ba?ar?s?;1;100;60;60
100515;TSM - Medikal S?nav Ba?ar?s?;1;100;80;80
100522;TSM - Medikal S?nav Ba?ar?s?;1;100;96;96
100525;TSM - Medikal S?nav Ba?ar?s?;1;100;92;92
100528;TSM - Medikal S?nav Ba?ar?s?;1;100;72;72
100529;TSM - Medikal S?nav Ba?ar?s?;1;100;88;88
100540;TSM - Medikal S?nav Ba?ar?s?;1;100;84;84
100579;TSM - Medikal S?nav Ba?ar?s?;1;100;80;80
100584;TSM - Medikal S?nav Ba?ar?s?;1;100;92;92
100585;TSM - Medikal S?nav Ba?ar?s?;1;100;88;88
100618;TSM - Medikal S?nav Ba?ar?s?;1;100;88;88
100650;TSM - Medikal S?nav Ba?ar?s?;1;100;84;84
100658;TSM - Medikal S?nav Ba?ar?s?;1;100;96;96
100661;TSM - Medikal S?nav Ba?ar?s?;1;100;96;96
100668;TSM - Medikal S?nav Ba?ar?s?;1;100;80;80
100674;TSM - Medikal S?nav Ba?ar?s?;1;100;80;80
100675;TSM - Medikal S?nav Ba?ar?s?;1;100;84;84
100686;TSM - Medikal S?nav Ba?ar?s?;1;100;80;80
100713;TSM - Medikal S?nav Ba?ar?s?;1;100;76;76
100718;TSM - Medikal S?nav Ba?ar?s?;1;100;84;84
100766;TSM - Medikal S?nav Ba?ar?s?;1;100;80;80
100862;TSM - Medikal S?nav Ba?ar?s?;1;100;92;92
100893;TSM - Medikal S?nav Ba?ar?s?;1;100;92;92
100950;TSM - Medikal S?nav Ba?ar?s?;1;100;84;84
101020;TSM - Medikal S?nav Ba?ar?s?;1;100;76;76
101023;TSM - Medikal S?nav Ba?ar?s?;1;100;72;72
101264;TSM - Medikal S?nav Ba?ar?s?;1;100;84;84
101267;TSM - Medikal S?nav Ba?ar?s?;1;100;76;76
101269;TSM - Medikal S?nav Ba?ar?s?;1;100;80;80
101270;TSM - Medikal S?nav Ba?ar?s?;1;100;84;84
101276;TSM - Medikal S?nav Ba?ar?s?;1;100;80;80
101279;TSM - Medikal S?nav Ba?ar?s?;1;100;80;80
101323;TSM - Medikal S?nav Ba?ar?s?;1;100;88;88
101329;TSM - Medikal S?nav Ba?ar?s?;1;100;56;56
101547;TSM - Medikal S?nav Ba?ar?s?;1;100;84;84
101562;TSM - Medikal S?nav Ba?ar?s?;1;100;84;84
101568;TSM - Medikal S?nav Ba?ar?s?;1;100;88;88
101660;TSM - Medikal S?nav Ba?ar?s?;1;100;76;76
101661;TSM - Medikal S?nav Ba?ar?s?;1;100;88;88
101663;TSM - Medikal S?nav Ba?ar?s?;1;100;92;92
101664;TSM - Medikal S?nav Ba?ar?s?;1;100;84;84
101666;TSM - Medikal S?nav Ba?ar?s?;1;100;84;84
101693;TSM - Medikal S?nav Ba?ar?s?;1;100;68;68
101794;TSM - Medikal S?nav Ba?ar?s?;1;100;92;92
101796;TSM - Medikal S?nav Ba?ar?s?;1;100;80;80
101797;TSM - Medikal S?nav Ba?ar?s?;1;100;84;84
101810;TSM - Medikal S?nav Ba?ar?s?;1;100;64;64
101816;TSM - Medikal S?nav Ba?ar?s?;1;100;88;88
101817;TSM - Medikal S?nav Ba?ar?s?;1;100;84;84
101818;TSM - Medikal S?nav Ba?ar?s?;1;100;80;80
101829;TSM - Medikal S?nav Ba?ar?s?;1;100;84;84
101840;TSM - Medikal S?nav Ba?ar?s?;1;100;60;60
101841;TSM - Medikal S?nav Ba?ar?s?;1;100;92;92
101906;TSM - Medikal S?nav Ba?ar?s?;1;100;76;76
101909;TSM - Medikal S?nav Ba?ar?s?;1;100;48;48
101911;TSM - Medikal S?nav Ba?ar?s?;1;100;88;88
101914;TSM - Medikal S?nav Ba?ar?s?;1;100;72;72
101923;TSM - Medikal S?nav Ba?ar?s?;1;100;84;84
101924;TSM - Medikal S?nav Ba?ar?s?;1;100;64;64
101925;TSM - Medikal S?nav Ba?ar?s?;1;100;84;84
101932;TSM - Medikal S?nav Ba?ar?s?;1;100;84;84
101933;TSM - Medikal S?nav Ba?ar?s?;1;100;84;84
101982;TSM - Medikal S?nav Ba?ar?s?;1;100;76;76
100164;TSM - Medikal S?nav Ba?ar?s?;1;100;96;96
100205;TSM - Medikal S?nav Ba?ar?s?;1;100;92;92
100241;TSM - Medikal S?nav Ba?ar?s?;1;100;92;92
100274;TSM - Medikal S?nav Ba?ar?s?;1;100;88;88
100276;TSM - Medikal S?nav Ba?ar?s?;1;100;96;96
100303;TSM - Medikal S?nav Ba?ar?s?;1;100;92;92
100312;TSM - Medikal S?nav Ba?ar?s?;1;100;88;88
100337;TSM - Medikal S?nav Ba?ar?s?;1;100;100;100
100338;TSM - Medikal S?nav Ba?ar?s?;1;100;100;100
100380;TSM - Medikal S?nav Ba?ar?s?;1;100;96;96
100384;TSM - Medikal S?nav Ba?ar?s?;1;100;96;96
100443;TSM - Medikal S?nav Ba?ar?s?;1;100;88;88
100494;TSM - Medikal S?nav Ba?ar?s?;1;100;88;88
100497;TSM - Medikal S?nav Ba?ar?s?;1;100;96;96
100499;TSM - Medikal S?nav Ba?ar?s?;1;100;84;84
100500;TSM - Medikal S?nav Ba?ar?s?;1;100;96;96
100518;TSM - Medikal S?nav Ba?ar?s?;1;100;96;96
100521;TSM - Medikal S?nav Ba?ar?s?;1;100;88;88
100523;TSM - Medikal S?nav Ba?ar?s?;1;100;96;96
100530;TSM - Medikal S?nav Ba?ar?s?;1;100;96;96
100535;TSM - Medikal S?nav Ba?ar?s?;1;100;92;92
100541;TSM - Medikal S?nav Ba?ar?s?;1;100;92;92
100565;TSM - Medikal S?nav Ba?ar?s?;1;100;96;96
100569;TSM - Medikal S?nav Ba?ar?s?;1;100;84;84
100589;TSM - Medikal S?nav Ba?ar?s?;1;100;76;76
100594;TSM - Medikal S?nav Ba?ar?s?;1;100;96;96
100617;TSM - Medikal S?nav Ba?ar?s?;1;100;96;96
100627;TSM - Medikal S?nav Ba?ar?s?;1;100;100;100
100664;TSM - Medikal S?nav Ba?ar?s?;1;100;92;92
100679;TSM - Medikal S?nav Ba?ar?s?;1;100;88;88
100680;TSM - Medikal S?nav Ba?ar?s?;1;100;92;92
100681;TSM - Medikal S?nav Ba?ar?s?;1;100;100;100
100682;TSM - Medikal S?nav Ba?ar?s?;1;100;84;84
100688;TSM - Medikal S?nav Ba?ar?s?;1;100;88;88
100691;TSM - Medikal S?nav Ba?ar?s?;1;100;92;92
100721;TSM - Medikal S?nav Ba?ar?s?;1;100;100;100
100724;TSM - Medikal S?nav Ba?ar?s?;1;100;100;100
100763;TSM - Medikal S?nav Ba?ar?s?;1;100;88;88
100765;TSM - Medikal S?nav Ba?ar?s?;1;100;96;96
100772;TSM - Medikal S?nav Ba?ar?s?;1;100;88;88
100775;TSM - Medikal S?nav Ba?ar?s?;1;100;100;100
100782;TSM - Medikal S?nav Ba?ar?s?;1;100;88;88
100786;TSM - Medikal S?nav Ba?ar?s?;1;100;88;88
100867;TSM - Medikal S?nav Ba?ar?s?;1;100;80;80
100915;TSM - Medikal S?nav Ba?ar?s?;1;100;88;88
100932;TSM - Medikal S?nav Ba?ar?s?;1;100;100;100
100934;TSM - Medikal S?nav Ba?ar?s?;1;100;96;96
100942;TSM - Medikal S?nav Ba?ar?s?;1;100;100;100
101013;TSM - Medikal S?nav Ba?ar?s?;1;100;100;100
101257;TSM - Medikal S?nav Ba?ar?s?;1;100;96;96
101261;TSM - Medikal S?nav Ba?ar?s?;1;100;92;92
101274;TSM - Medikal S?nav Ba?ar?s?;1;100;96;96
101277;TSM - Medikal S?nav Ba?ar?s?;1;100;92;92
101493;TSM - Medikal S?nav Ba?ar?s?;1;100;92;92
101498;TSM - Medikal S?nav Ba?ar?s?;1;100;100;100
101541;TSM - Medikal S?nav Ba?ar?s?;1;100;100;100
101552;TSM - Medikal S?nav Ba?ar?s?;1;100;96;96
101559;TSM - Medikal S?nav Ba?ar?s?;1;100;92;92
101561;TSM - Medikal S?nav Ba?ar?s?;1;100;92;92
101564;TSM - Medikal S?nav Ba?ar?s?;1;100;88;88
101565;TSM - Medikal S?nav Ba?ar?s?;1;100;100;100
101671;TSM - Medikal S?nav Ba?ar?s?;1;100;92;92
101673;TSM - Medikal S?nav Ba?ar?s?;1;100;84;84
101675;TSM - Medikal S?nav Ba?ar?s?;1;100;92;92
101676;TSM - Medikal S?nav Ba?ar?s?;1;100;92;92
101800;TSM - Medikal S?nav Ba?ar?s?;1;100;100;100
101801;TSM - Medikal S?nav Ba?ar?s?;1;100;100;100
101812;TSM - Medikal S?nav Ba?ar?s?;1;100;100;100
101813;TSM - Medikal S?nav Ba?ar?s?;1;100;100;100
101825;TSM - Medikal S?nav Ba?ar?s?;1;100;88;88
101827;TSM - Medikal S?nav Ba?ar?s?;1;100;88;88
101852;TSM - Medikal S?nav Ba?ar?s?;1;100;100;100
101905;TSM - Medikal S?nav Ba?ar?s?;1;100;100;100
101916;TSM - Medikal S?nav Ba?ar?s?;1;100;92;92
101926;TSM - Medikal S?nav Ba?ar?s?;1;100;96;96
101934;TSM - Medikal S?nav Ba?ar?s?;1;100;96;96
101935;TSM - Medikal S?nav Ba?ar?s?;1;100;84;84
101953;TSM - Medikal S?nav Ba?ar?s?;1;100;92;92
101955;TSM - Medikal S?nav Ba?ar?s?;1;100;96;96
101956;TSM - Medikal S?nav Ba?ar?s?;1;100;100;100
101981;TSM - Medikal S?nav Ba?ar?s?;1;100;100;100
101999;TSM - Medikal S?nav Ba?ar?s?;1;100;84;84
100199;TSM - Medikal S?nav Ba?ar?s?;1;100;36;36
100200;TSM - Medikal S?nav Ba?ar?s?;1;100;84;84
100212;TSM - Medikal S?nav Ba?ar?s?;1;100;56;56
100260;TSM - Medikal S?nav Ba?ar?s?;1;100;96;96
100261;TSM - Medikal S?nav Ba?ar?s?;1;100;60;60
100275;TSM - Medikal S?nav Ba?ar?s?;1;100;84;84
100294;TSM - Medikal S?nav Ba?ar?s?;1;100;92;92
100296;TSM - Medikal S?nav Ba?ar?s?;1;100;88;88
100315;TSM - Medikal S?nav Ba?ar?s?;1;100;96;96
100327;TSM - Medikal S?nav Ba?ar?s?;1;100;92;92
100334;TSM - Medikal S?nav Ba?ar?s?;1;100;84;84
100344;TSM - Medikal S?nav Ba?ar?s?;1;100;76;76
100378;TSM - Medikal S?nav Ba?ar?s?;1;100;92;92
100398;TSM - Medikal S?nav Ba?ar?s?;1;100;72;72
100403;TSM - Medikal S?nav Ba?ar?s?;1;100;72;72
100404;TSM - Medikal S?nav Ba?ar?s?;1;100;76;76
100459;TSM - Medikal S?nav Ba?ar?s?;1;100;84;84
100470;TSM - Medikal S?nav Ba?ar?s?;1;100;92;92
100503;TSM - Medikal S?nav Ba?ar?s?;1;100;76;76
100539;TSM - Medikal S?nav Ba?ar?s?;1;100;68;68
100561;TSM - Medikal S?nav Ba?ar?s?;1;100;84;84
100596;TSM - Medikal S?nav Ba?ar?s?;1;100;80;80
100624;TSM - Medikal S?nav Ba?ar?s?;1;100;92;92
100657;TSM - Medikal S?nav Ba?ar?s?;1;100;96;96
100716;TSM - Medikal S?nav Ba?ar?s?;1;100;68;68
100768;TSM - Medikal S?nav Ba?ar?s?;1;100;72;72
100770;TSM - Medikal S?nav Ba?ar?s?;1;100;76;76
100801;TSM - Medikal S?nav Ba?ar?s?;1;100;96;96
100879;TSM - Medikal S?nav Ba?ar?s?;1;100;76;76
101253;TSM - Medikal S?nav Ba?ar?s?;1;100;88;88
101262;TSM - Medikal S?nav Ba?ar?s?;1;100;88;88
101486;TSM - Medikal S?nav Ba?ar?s?;1;100;76;76
101488;TSM - Medikal S?nav Ba?ar?s?;1;100;64;64
101542;TSM - Medikal S?nav Ba?ar?s?;1;100;68;68
101546;TSM - Medikal S?nav Ba?ar?s?;1;100;88;88
101555;TSM - Medikal S?nav Ba?ar?s?;1;100;84;84
101560;TSM - Medikal S?nav Ba?ar?s?;1;100;84;84
101566;TSM - Medikal S?nav Ba?ar?s?;1;100;52;52
101567;TSM - Medikal S?nav Ba?ar?s?;1;100;84;84
101573;TSM - Medikal S?nav Ba?ar?s?;1;100;64;64
101658;TSM - Medikal S?nav Ba?ar?s?;1;100;68;68
101677;TSM - Medikal S?nav Ba?ar?s?;1;100;96;96
101683;TSM - Medikal S?nav Ba?ar?s?;1;100;76;76
101691;TSM - Medikal S?nav Ba?ar?s?;1;100;88;88
101795;TSM - Medikal S?nav Ba?ar?s?;1;100;76;76
101807;TSM - Medikal S?nav Ba?ar?s?;1;100;80;80
101811;TSM - Medikal S?nav Ba?ar?s?;1;100;80;80
101821;TSM - Medikal S?nav Ba?ar?s?;1;100;76;76
101823;TSM - Medikal S?nav Ba?ar?s?;1;100;68;68
101832;TSM - Medikal S?nav Ba?ar?s?;1;100;88;88
101842;TSM - Medikal S?nav Ba?ar?s?;1;100;76;76
101937;TSM - Medikal S?nav Ba?ar?s?;1;100;84;84
101938;TSM - Medikal S?nav Ba?ar?s?;1;100;92;92
101939;TSM - Medikal S?nav Ba?ar?s?;1;100;80;80
101940;TSM - Medikal S?nav Ba?ar?s?;1;100;84;84
101941;TSM - Medikal S?nav Ba?ar?s?;1;100;76;76
101942;TSM - Medikal S?nav Ba?ar?s?;1;100;68;68
101943;TSM - Medikal S?nav Ba?ar?s?;1;100;84;84
101944;TSM - Medikal S?nav Ba?ar?s?;1;100;80;80
101945;TSM - Medikal S?nav Ba?ar?s?;1;100;68;68
101946;TSM - Medikal S?nav Ba?ar?s?;1;100;88;88
101947;TSM - Medikal S?nav Ba?ar?s?;1;100;76;76
101948;TSM - Medikal S?nav Ba?ar?s?;1;100;72;72
101949;TSM - Medikal S?nav Ba?ar?s?;1;100;76;76
101950;TSM - Medikal S?nav Ba?ar?s?;1;100;64;64
101952;TSM - Medikal S?nav Ba?ar?s?;1;100;68;68
101972;TSM - Medikal S?nav Ba?ar?s?;1;100;76;76
101998;TSM - Medikal S?nav Ba?ar?s?;1;100;60;60
102006;TSM - Medikal S?nav Ba?ar?s?;1;100;84;84
100078;TSM - Medikal S?nav Ba?ar?s?;1;100;88;88
100118;TSM - Medikal S?nav Ba?ar?s?;1;100;84;84
100177;TSM - Medikal S?nav Ba?ar?s?;1;100;88;88
100202;TSM - Medikal S?nav Ba?ar?s?;1;100;72;72
100214;TSM - Medikal S?nav Ba?ar?s?;1;100;88;88
100233;TSM - Medikal S?nav Ba?ar?s?;1;100;72;72
100254;TSM - Medikal S?nav Ba?ar?s?;1;100;96;96
100263;TSM - Medikal S?nav Ba?ar?s?;1;100;96;96
100286;TSM - Medikal S?nav Ba?ar?s?;1;100;96;96
100325;TSM - Medikal S?nav Ba?ar?s?;1;100;88;88
100330;TSM - Medikal S?nav Ba?ar?s?;1;100;100;100
100340;TSM - Medikal S?nav Ba?ar?s?;1;100;88;88
100385;TSM - Medikal S?nav Ba?ar?s?;1;100;96;96
100445;TSM - Medikal S?nav Ba?ar?s?;1;100;88;88
100490;TSM - Medikal S?nav Ba?ar?s?;1;100;100;100
100532;TSM - Medikal S?nav Ba?ar?s?;1;100;92;92
100567;TSM - Medikal S?nav Ba?ar?s?;1;100;96;96
100571;TSM - Medikal S?nav Ba?ar?s?;1;100;96;96
100600;TSM - Medikal S?nav Ba?ar?s?;1;100;60;60
100601;TSM - Medikal S?nav Ba?ar?s?;1;100;100;100
100788;TSM - Medikal S?nav Ba?ar?s?;1;100;92;92
100802;TSM - Medikal S?nav Ba?ar?s?;1;100;100;100
100850;TSM - Medikal S?nav Ba?ar?s?;1;100;88;88
101459;TSM - Medikal S?nav Ba?ar?s?;1;100;88;88
101543;TSM - Medikal S?nav Ba?ar?s?;1;100;96;96
101678;TSM - Medikal S?nav Ba?ar?s?;1;100;72;72
101679;TSM - Medikal S?nav Ba?ar?s?;1;100;96;96
101680;TSM - Medikal S?nav Ba?ar?s?;1;100;88;88
101688;TSM - Medikal S?nav Ba?ar?s?;1;100;76;76
101695;TSM - Medikal S?nav Ba?ar?s?;1;100;68;68
101819;TSM - Medikal S?nav Ba?ar?s?;1;100;92;92
101844;TSM - Medikal S?nav Ba?ar?s?;1;100;72;72
101910;TSM - Medikal S?nav Ba?ar?s?;1;100;92;92
101918;TSM - Medikal S?nav Ba?ar?s?;1;100;64;64
101976;TSM - Medikal S?nav Ba?ar?s?;1;100;84;84
100105;TSM - Medikal S?nav Ba?ar?s?;1;100;80;80
100140;TSM - Medikal S?nav Ba?ar?s?;1;100;88;88
100251;TSM - Medikal S?nav Ba?ar?s?;1;100;100;100
100397;TSM - Medikal S?nav Ba?ar?s?;1;100;96;96
100401;TSM - Medikal S?nav Ba?ar?s?;1;100;84;84
100447;TSM - Medikal S?nav Ba?ar?s?;1;100;80;80
100464;TSM - Medikal S?nav Ba?ar?s?;1;100;100;100
100491;TSM - Medikal S?nav Ba?ar?s?;1;100;88;88
100504;TSM - Medikal S?nav Ba?ar?s?;1;100;88;88
100511;TSM - Medikal S?nav Ba?ar?s?;1;100;92;92
100580;TSM - Medikal S?nav Ba?ar?s?;1;100;96;96
100582;TSM - Medikal S?nav Ba?ar?s?;1;100;92;92
100603;TSM - Medikal S?nav Ba?ar?s?;1;100;88;88
100623;TSM - Medikal S?nav Ba?ar?s?;1;100;92;92
100649;TSM - Medikal S?nav Ba?ar?s?;1;100;96;96
100677;TSM - Medikal S?nav Ba?ar?s?;1;100;80;80
100684;TSM - Medikal S?nav Ba?ar?s?;1;100;96;96
100709;TSM - Medikal S?nav Ba?ar?s?;1;100;96;96
100717;TSM - Medikal S?nav Ba?ar?s?;1;100;92;92
100777;TSM - Medikal S?nav Ba?ar?s?;1;100;92;92
100783;TSM - Medikal S?nav Ba?ar?s?;1;100;96;96
100848;TSM - Medikal S?nav Ba?ar?s?;1;100;92;92
100856;TSM - Medikal S?nav Ba?ar?s?;1;100;92;92
100865;TSM - Medikal S?nav Ba?ar?s?;1;100;96;96
101009;TSM - Medikal S?nav Ba?ar?s?;1;100;96;96
101017;TSM - Medikal S?nav Ba?ar?s?;1;100;88;88
101258;TSM - Medikal S?nav Ba?ar?s?;1;100;88;88
101474;TSM - Medikal S?nav Ba?ar?s?;1;100;100;100
101507;TSM - Medikal S?nav Ba?ar?s?;1;100;96;96
101548;TSM - Medikal S?nav Ba?ar?s?;1;100;96;96
101684;TSM - Medikal S?nav Ba?ar?s?;1;100;84;84
101685;TSM - Medikal S?nav Ba?ar?s?;1;100;92;92
101686;TSM - Medikal S?nav Ba?ar?s?;1;100;96;96
101790;TSM - Medikal S?nav Ba?ar?s?;1;100;96;96
101803;TSM - Medikal S?nav Ba?ar?s?;1;100;92;92
101820;TSM - Medikal S?nav Ba?ar?s?;1;100;72;72
101838;TSM - Medikal S?nav Ba?ar?s?;1;100;92;92
102010;TSM - Medikal S?nav Ba?ar?s?;1;100;92;92
100079;TSM - Medikal S?nav Ba?ar?s?;1;100;68;68
100101;TSM - Medikal S?nav Ba?ar?s?;1;100;92;92
100102;TSM - Medikal S?nav Ba?ar?s?;1;100;68;68
100121;TSM - Medikal S?nav Ba?ar?s?;1;100;76;76
100166;TSM - Medikal S?nav Ba?ar?s?;1;100;88;88
100194;TSM - Medikal S?nav Ba?ar?s?;1;100;80;80
100195;TSM - Medikal S?nav Ba?ar?s?;1;100;88;88
100244;TSM - Medikal S?nav Ba?ar?s?;1;100;88;88
100248;TSM - Medikal S?nav Ba?ar?s?;1;100;92;92
100265;TSM - Medikal S?nav Ba?ar?s?;1;100;92;92
100288;TSM - Medikal S?nav Ba?ar?s?;1;100;92;92
100292;TSM - Medikal S?nav Ba?ar?s?;1;100;60;60
100321;TSM - Medikal S?nav Ba?ar?s?;1;100;84;84
100341;TSM - Medikal S?nav Ba?ar?s?;1;100;92;92
100453;TSM - Medikal S?nav Ba?ar?s?;1;100;80;80
100463;TSM - Medikal S?nav Ba?ar?s?;1;100;88;88
100514;TSM - Medikal S?nav Ba?ar?s?;1;100;88;88
100527;TSM - Medikal S?nav Ba?ar?s?;1;100;72;72
100577;TSM - Medikal S?nav Ba?ar?s?;1;100;76;76
100592;TSM - Medikal S?nav Ba?ar?s?;1;100;80;80
100669;TSM - Medikal S?nav Ba?ar?s?;1;100;80;80
100797;TSM - Medikal S?nav Ba?ar?s?;1;100;92;92
100799;TSM - Medikal S?nav Ba?ar?s?;1;100;80;80
101482;TSM - Medikal S?nav Ba?ar?s?;1;100;76;76
101483;TSM - Medikal S?nav Ba?ar?s?;1;100;88;88
101487;TSM - Medikal S?nav Ba?ar?s?;1;100;64;64
101490;TSM - Medikal S?nav Ba?ar?s?;1;100;80;80
101553;TSM - Medikal S?nav Ba?ar?s?;1;100;84;84
101668;TSM - Medikal S?nav Ba?ar?s?;1;100;80;80
101669;TSM - Medikal S?nav Ba?ar?s?;1;100;96;96
101696;TSM - Medikal S?nav Ba?ar?s?;1;100;88;88
101824;TSM - Medikal S?nav Ba?ar?s?;1;100;76;76
100704;TSM - Medikal S?nav Ba?ar?s?;1;100;80;80
100794;TSM - Medikal S?nav Ba?ar?s?;1;100;100;100
